Target Type,Major Category,Minor Category,Anatomic Group,N Characters,TG263-Primary Name,TG-263-Reverse Order Name,Description,FMAID
Anatomic,Artery,Aorta,Thorax,7,A_Aorta,Aorta_A,Aorta,3734
Anatomic,Artery,Aorta,Thorax,11,A_Aorta_Asc,Asc_Aorta_A,Ascending Aorta,3736
Anatomic,Artery,Brachiocephalic,Thorax,15,A_Brachiocephls,Brachiocephls_A,Brachiocephalic Artery,3932
Anatomic,Artery,Carotid,Head and Neck,9,A_Carotid,Carotid_A,Common Carotid Artery,3939
Anatomic,Artery,Carotid,Head and Neck,11,A_Carotid_L,L_Carotid_A,Carotid Artery,4058
Anatomic,Artery,Carotid,Head and Neck,11,A_Carotid_R,R_Carotid_A,Carotid Artery,3941
Anatomic,Artery,Celiac,Abdomen,8,A_Celiac,Celiac_A,Celiac Artery,50737
Anatomic,Artery,Coronary,Head and Neck,10,A_Coronary,Coronary_A,Coronary Artery,49893
Anatomic,Artery,Coronary,Thorax,12,A_Coronary_L,L_Coronary_A,Coronary Artery Left,50040
Anatomic,Artery,Coronary,Thorax,12,A_Coronary_R,R_Coronary_A,Coronary Artery Right,50039
Anatomic,Artery,Femoral,Limbs,16,A_Femoral_Cflx_L,L_Cflx_Femoral_A,Circumflex Left Femoral Artery,None
Anatomic,Artery,Femoral,Limbs,16,A_Femoral_Cflx_R,R_Cflx_Femoral_A,Circumflex Right Femoral Artery,None
Anatomic,Artery,Femoral,Limbs,11,A_Femoral_L,L_Femoral_A,Femoral Artery Left,70250
Anatomic,Artery,Femoral,Limbs,11,A_Femoral_R,R_Femoral_A,Femoral Artery Right,70249
Anatomic,Artery,Humeral,Limbs,16,A_Humeral_Cflx_L,L_Cflx_Humeral_A,Circumflex Humeral Artery Left,None
Anatomic,Artery,Humeral,Limbs,16,A_Humeral_Cflx_R,R_Cflx_Humeral_A,Circumflex Humeral Artery Right,None
Anatomic,Artery,Humeral,Limbs,11,A_Humeral_L,L_Humeral_A,Humeral Artery Left,None
Anatomic,Artery,Humeral,Limbs,11,A_Humeral_R,R_Humeral_A,Humeral Artery Right,None
Anatomic,Artery,Hypophyseal,Head and Neck,15,A_Hypophyseal_I,I_Hypophyseal_A,Hypophyseal Artery Inferior,49846
Anatomic,Artery,Hypophyseal,Head and Neck,15,A_Hypophyseal_S,S_Hypophyseal_A,Hypophyseal Artery Superior,49849
Anatomic,Artery,Iliac,Pelvis,14,A_Iliac_Cflx_L,L_Cflx_Iliac_A,Circumflex Left Iliac Artery,None
Anatomic,Artery,Iliac,Pelvis,14,A_Iliac_Cflx_R,R_Cflx_Iliac_A,Circumflex Right Iliac Artery,None
Anatomic,Artery,Iliac,Pelvis,13,A_Iliac_Ext_L,L_Ext_Iliac_A,External iliac artery Left,18807
Anatomic,Artery,Iliac,Pelvis,13,A_Iliac_Ext_R,R_Ext_Iliac_A,External iliac artery Right,18806
Anatomic,Artery,Iliac,Pelvis,13,A_Iliac_Int_L,L_Int_Iliac_A,Internal iliac artery Left,18810
Anatomic,Artery,Iliac,Pelvis,13,A_Iliac_Int_R,R_Int_Iliac_A,Internal iliac artery Right,18809
Anatomic,Artery,Iliac,Pelvis,9,A_Iliac_L,L_Iliac_A,Common iliac artery Left,14766
Anatomic,Artery,Iliac,Pelvis,9,A_Iliac_R,R_Iliac_A,Common iliac artery Right,14765
Anatomic,Artery,LAD,Thorax,5,A_LAD,LAD_A,Anterior interventricular branch of LCA (left anterior descending artery),3862
Anatomic,Artery,Mesenteric,Abdomen,14,A_Mesenteric_I,I_Mesenteric_A,Inferior mesenteric artery,14750
Anatomic,Artery,Mesenteric,Abdomen,14,A_Mesenteric_S,S_Mesenteric_A,Superior mesenteric artery,14749
Anatomic,Artery,Pulmonary,Thorax,11,A_Pulmonary,Pulmonary_A,Pulmonary Artery,66326
Anatomic,Artery,Subclavian,Thorax,12,A_Subclavian,Subclavian_A,Subclavian Artery,3951
Anatomic,Artery,Subclavian,Thorax,14,A_Subclavian_L,L_Subclavian_A,Subclavian Artery Left,4694
Anatomic,Artery,Subclavian,Thorax,14,A_Subclavian_R,R_Subclavian_A,Subclavian Artery Right,3953
Anatomic,Artery,Vertebral,Thorax,11,A_Vertebral,Vertebral_A,Vertebral arteries,3956
Anatomic,Artery,Vertebral,Thorax,13,A_Vertebral_L,L_Vertebral_A,Vertebral arteries left,4066
Anatomic,Artery,Vertebral,Thorax,13,A_Vertebral_R,R_Vertebral_A,Vertebral arteries right,3958
Anatomic,Bone,Pelvic,Pelvis,12,Acetabulum_L,L_Acetabulum,Acetabulum,16599
Anatomic,Bone,Pelvic,Pelvis,12,Acetabulum_R,R_Acetabulum,Acetabulum,16598
Anatomic,Bone,Pelvic,Pelvis,11,Acetabulums,Acetabulums,Acetabulum,16579
Anatomic,Lung,,Thorax,11,AirWay_Dist,Dist_AirWay,Distal Airway,None
Anatomic,Lung,,Thorax,11,AirWay_Prox,Prox_AirWay,Proximal Airway,None
Anatomic,Bowel,Anus,Pelvis,4,Anus,Anus,Anus,15711
Anatomic,Bowel,Appendix,Abdomen,8,Appendix,Appendix,Appendix,14542
Anatomic,Cartilage,Arytenoid,Head and Neck,9,Arytenoid,Arytenoid,Arytenoid cartilage,55109
Anatomic,Cartilage,Arytenoid,Head and Neck,11,Arytenoid_L,L_Arytenoid,Arytenoid cartilage Left,55114
Anatomic,Cartilage,Arytenoid,Head and Neck,11,Arytenoid_R,R_Arytenoid,Arytenoid cartilage Right,55113
Anatomic,Heart,Atrium,Thorax,6,Atrium,Atrium,Atrium of the heart,7099
Anatomic,Heart,Atrium,Thorax,8,Atrium_L,L_Atrium,Atrium of the heart Left,7097
Anatomic,Heart,Atrium,Thorax,8,Atrium_R,R_Atrium,Atrium of the heart Right,7096
Non_Anatomic,Bowel,,Abdomen,9,Bag_Bowel,Bowel_Bag,Bowel Bag,None
Non_Anatomic,Devices,,Body,10,Bag_Ostomy,Ostomy_Bag,Ostomy Bag,None
Anatomic,Bowel,Bile,Abdomen,15,BileDuct_Common,Common_BileDuct,Common bile duct,14667
Anatomic,Bladder,,Pelvis,7,Bladder,Bladder,Urinary Bladder,15900
Anatomic,Bladder,,Pelvis,12,Bladder_Wall,Bladder_Wall,Bladder Wall,15902
Derived,Bladder,,Pelvis,11,Bladder-CTV,Bladder-CTV,Bladder minus CTV,None
Anatomic,Body,,Body,4,Body,Body,Only the body,256135
Derived,Body,,Body,8,Body-PTV,Body-PTV,Body minus PTV,None
Non_Anatomic,Bolus,,Body,5,Bolus,Bolus,None,None
Non_Anatomic,Bolus,,Body,10,Bolus_xxmm,xxmm_Bolus,Bolus that is xx millimeters thick e.g. Bolus_03mm^Bolus_10mm,None
Anatomic,Bone,,Body,4,Bone,Bone,Bone,30317
Anatomic,Bone,Ethmoid,Head and Neck,12,Bone_Ethmoid,Ethmoid_Bone,Ethmoid Bone,52740
Anatomic,Bone,Frontal,Head and Neck,12,Bone_Frontal,Frontal_Bone,Frontal Bone,52734
Anatomic,Bone,Hyoid,Head and Neck,10,Bone_Hyoid,Hyoid_Bone,Hyoid Bone,52749
Anatomic,Bone,Ilium,Pelvis,10,Bone_Ilium,Ilium_Bone,Ilium,42832
Anatomic,Bone,Ilium,Pelvis,12,Bone_Ilium_L,L_Ilium_Bone,Ilium Left,16591
Anatomic,Bone,Ilium,Pelvis,12,Bone_Ilium_R,R_Ilium_Bone,Ilium Right,16590
Anatomic,Ear,Incus,Head and Neck,10,Bone_Incus,Incus_Bone,Incus,52752
Anatomic,Ear,Incus,Head and Neck,12,Bone_Incus_L,L_Incus_Bone,Incus Left,74051
Anatomic,Ear,Incus,Head and Neck,12,Bone_Incus_R,R_Incus_Bone,Incus Right,74050
Anatomic,Bone,Ischium,Pelvis,14,Bone_Ischium_L,L_Ischium_Bone,Ischium Left,16594
Anatomic,Bone,Ischium,Pelvis,14,Bone_Ischium_R,R_Ischium_Bone,Ischium Right,16593
Anatomic,Bone,Lacrimal,Head and Neck,13,Bone_Lacrimal,Lacrimal_Bone,Lacrimal Bone,52741
Anatomic,Bone,Lacrimal,Head and Neck,15,Bone_Lacrimal_L,L_Lacrimal_Bone,Lacrimal Bone Left,53646
Anatomic,Bone,Lacrimal,Head and Neck,15,Bone_Lacrimal_R,R_Lacrimal_Bone,Lacrimal Bone Right,53645
Anatomic,Bone,Mandible,Head and Neck,13,Bone_Mandible,Mandible_Bone,Mandible,52748
Anatomic,Bone,Mastoid,Head and Neck,12,Bone_Mastoid,Mastoid_Bone,Both Mastoids,52872
Anatomic,Bone,Mastoid,Head and Neck,14,Bone_Mastoid_L,L_Mastoid_Bone,Left Mastoid Bone,52874
Anatomic,Bone,Mastoid,Head and Neck,14,Bone_Mastoid_R,R_Mastoid_Bone,Right Mastoid Bone,52873
Anatomic,Bone,Nasal,Head and Neck,10,Bone_Nasal,Nasal_Bone,Nasal Bone,52745
Anatomic,Bone,Nasal,Head and Neck,12,Bone_Nasal_L,L_Nasal_Bone,Nasal Bone Left,53648
Anatomic,Bone,Nasal,Head and Neck,12,Bone_Nasal_R,R_Nasal_Bone,Nasal Bone Right,53647
Anatomic,Bone,Occipital,Head and Neck,14,Bone_Occipital,Occipital_Bone,Occipital Bone,52735
Anatomic,Bone,Palatine,Head and Neck,13,Bone_Palatine,Palatine_Bone,Palatine  bone,52746
Anatomic,Bone,Palatine,Head and Neck,15,Bone_Palatine_L,L_Palatine_Bone,Palatine bone Left,53656
Anatomic,Bone,Palatine,Head and Neck,15,Bone_Palatine_R,R_Palatine_Bone,Palatine bone Right,53655
Anatomic,Bone,Parietal,Head and Neck,13,Bone_Parietal,Parietal_Bone,Parietal bone,9613
Anatomic,Bone,Parietal,Head and Neck,15,Bone_Parietal_L,L_Parietal_Bone,Parietal bone Left,52789
Anatomic,Bone,Parietal,Head and Neck,15,Bone_Parietal_R,R_Parietal_Bone,Parietal bone Right,52788
Anatomic,Bone,Pelvic,Pelvis,11,Bone_Pelvic,Pelvic_Bone,Pelvic Bones (Bony Pelvis),16580
Anatomic,Bone,Pelvic,Pelvis,13,Bone_Pelvic_L,L_Pelvic_Bone,Bony Pelvis Left,20227
Anatomic,Bone,Pelvic,Pelvis,13,Bone_Pelvic_R,R_Pelvic_Bone,Bony Pelvis Right,20226
Anatomic,Bone,Sphenoid,Head and Neck,13,Bone_Sphenoid,Sphenoid_Bone,Sphenoid Bone,52736
Anatomic,Bone,Temporal,Head and Neck,13,Bone_Temporal,Temporal_Bone,Temporal Bone,52737
Anatomic,Bone,Temporal,Head and Neck,15,Bone_Temporal_L,L_Temporal_Bone,Temporal Bone Left,52739
Anatomic,Brain,Temporal,Head and Neck,15,Bone_Temporal_R,R_Temporal_Bone,Temporal Bone Right,52738
Anatomic,Bone,Zygomatic,Head and Neck,16,Bone_Zygomatic_L,L_Zygomatic_Bone,Zygomatic Bone Left,52893
Anatomic,Bone,Zygomatic,Head and Neck,16,Bone_Zygomatic_R,R_Zygomatic_Bone,Zygomatic Bone Right,52892
Anatomic,Bone,Zygomatic,Head and Neck,15,Bone_Zygomatics,Zygomatics_Bone,Zygomatic Bone,52747
Anatomic,Bone,Marrow,Body,10,BoneMarrow,BoneMarrow,Bone Marrow,9608
Anatomic,Bone,Marrow,Body,14,BoneMarrow_Act,Act_BoneMarrow,Active Bone Marrow,None
Non-Anatomic,Body,,Body,5,Boost,Boost,Boost Volume,None
Anatomic,Bowel,,Abdomen,5,Bowel,Bowel,,7199
Anatomic,Bowel,Large,Pelvis,11,Bowel_Large,Large_Bowel,Large Bowel,7201
Anatomic,Bowel,,Abdomen,11,Bowel_Small,Small_Bowel,Small Bowel (small intestine),7200
Anatomic,Nerve,Brachial,Thorax,14,BrachialPlex_L,L_BrachialPlex,Brachial plexus Left,45245
Anatomic,Nerve,Brachial,Thorax,14,BrachialPlex_R,R_BrachialPlex,Brachial plexus Right,45244
Anatomic,Nerve,Brachial,Thorax,13,BrachialPlexs,BrachialPlexs,Brachial plexus,5906
Anatomic,Brain,Brain,Head and Neck,5,Brain,Brain,Brain,50801
Derived,Brain,Brain,Head and Neck,9,Brain-CTV,Brain-CTV,Brain minus the CTV,None
Derived,Brain,Brain,Head and Neck,9,Brain-GTV,Brain-GTV,Brain minus the GTV,None
Derived,Brain,Brain,Head and Neck,9,Brain-PTV,Brain-PTV,Brain minus the PTV,None
Anatomic,Nerve,Brainstem,Head and Neck,9,Brainstem,Brainstem,Brain Stem,79876
Anatomic,Nerve,Brainstem,Head and Neck,14,Brainstem_Core,Core_Brainstem,Core of the brainstem,None
PRV,Nerve,PRV,Head and Neck,13,Brainstem_PRV,PRV_Brainstem,PRV for the Brainstem,None
PRV,Nerve,PRV,Head and Neck,15,Brainstem_PRVxx,PRVxx_Brainstem,PRV margin on the brain stem that is an xx millimeter expansion,None
Anatomic,Nerve,Brainstem,Head and Neck,14,Brainstem_Surf,Surf_Brainstem,Surface of the brainstem,None
Anatomic,Breast,,Thorax,8,Breast_L,L_Breast,Breast Left,321497
Anatomic,Breast,,Thorax,8,Breast_R,R_Breast,Breast Right,321496
Anatomic,Breast,,Thorax,7,Breasts,Breasts,Both breasts,268893
Anatomic,Lung,Bronchus,Thorax,8,Bronchus,Bronchus,Bronchial tree,26660
Anatomic,Lung,Bronchus,Thorax,10,Bronchus_L,L_Bronchus,Bronchial tree Left,26662
Anatomic,Lung,Bronchus,Thorax,13,Bronchus_Main,Main_Bronchus,Main Bronchus,7405
Anatomic,Lung,Bronchus,Thorax,15,Bronchus_Main_L,L_Main_Bronchus,Main Bronchus Left,7396
Anatomic,Lung,Bronchus,Thorax,15,Bronchus_Main_R,R_Main_Bronchus,Main Bronchus Right,7395
Anatomic,Lung,Bronchus,Thorax,14,Bronchus_PRVxx,PRVxx_Bronchus,A PRV expansion on the Bronchus that  is xx millimeters thick,None
Anatomic,Lung,Bronchus,Thorax,10,Bronchus_R,R_Bronchus,Bronchial tree Right,26661
Anatomic,Bowel,Anus,Pelvis,10,Canal_Anal,Anal_Canal,Anal Canal,15703
Anatomic,Carina,,Thorax,6,Carina,Carina,Carina,7465
Anatomic,Cartilage,Thyroid,Thorax,14,Cartlg_Thyroid,Thyroid_Cartlg,Thyroid cartilage,55099
Anatomic,Nerve,CaudaEquina,Pelvis,11,CaudaEquina,CaudaEquina,Cauda equina,52590
Anatomic,Reproductive,,Pelvis,10,Cavernosum,Cavernosum,Penis Corpus Cavernosum,75189
Anatomic,Nose,Nasal,Head and Neck,12,Cavity_Nasal,Nasal_Cavity,Nasal Cavity,54378
Anatomic,Mouth,Oral Cavity,Head and Neck,11,Cavity_Oral,Oral_Cavity,Oral cavity,20292
Anatomic,Bowel,,Abdomen,5,Cecum,Cecum,Large bowel - Cecum,14541
Anatomic,Brain,Cerebellum,Head and Neck,10,Cerebellum,Cerebellum,Cerebellum,67944
Anatomic,Brain,Cerebrum,Head and Neck,8,Cerebrum,Cerebrum,Cerebrum,62000
Anatomic,Brain,Cerebrum,Head and Neck,10,Cerebrum_L,L_Cerebrum,,61819
Anatomic,Brain,Cerebrum,Head and Neck,10,Cerebrum_R,R_Cerebrum,,67292
Anatomic,Cervix,,Pelvis,6,Cervix,Cervix,Cervix of uterus,17740
Anatomic,Chest wall,,Thorax,9,Chestwall,Chestwall,Chest wall,50060
Anatomic,Chest wall,,Thorax,11,Chestwall_L,L_Chestwall,Left Chest Wall,25559
Anatomic,Chest wall,,Thorax,11,Chestwall_R,R_Chestwall,Right Chest Wall,25558
Anatomic,Brain,,Head and Neck,12,Cist_Pontine,Pontine_Cist,Pontine Cistern,83719
Anatomic,Brain,,Head and Neck,16,Cist_Suprasellar,Suprasellar_Cist,None,None
Anatomic,Bone,Clavicle,Thorax,10,Clavicle_L,L_Clavicle,Clavicle Left,13323
Anatomic,Bone,Clavicle,Thorax,10,Clavicle_R,R_Clavicle,Clavicle Right,13322
Anatomic,Nerve,Cranial,Head and Neck,6,CN_III,III_CN,Third Cranial Nerve (Oculomotor nerve),50864
Anatomic,Nerve,Cranial,Head and Neck,8,CN_III_L,L_III_CN,Third Cranial Nerve (Oculomotor nerve) Left,50880
Anatomic,Nerve,Cranial,Head and Neck,8,CN_III_R,R_III_CN,Third Cranial Nerve (Oculomotor nerve) Right,50879
Anatomic,Nerve,Cranial,Head and Neck,5,CN_IX,IX_CN,Ninth Cranial Nerve (Glossopharyngeal nerve),50870
Anatomic,Nerve,Cranial,Head and Neck,7,CN_IX_L,L_IX_CN,Ninth Cranial Nerve (Glossopharyngeal nerve) Left,50892
Anatomic,Nerve,Cranial,Head and Neck,7,CN_IX_R,R_IX_CN,Ninth Cranial Nerve (Glossopharyngeal nerve) Right,50870
Anatomic,Nerve,Cranial,Head and Neck,4,CN_V,V_CN,Fifth Cranial Nerve (Trigeminal nerve),50866
Anatomic,Nerve,Cranial,Head and Neck,6,CN_V_L,L_V_CN,Fifth Cranial Nerve (Trigeminal nerve) Left,50885
Anatomic,Nerve,Cranial,Head and Neck,6,CN_V_R,R_V_CN,Fifth Cranial Nerve (Trigeminal nerve) Right,50884
Anatomic,Nerve,Cranial,Head and Neck,5,CN_VI,VI_CN,Sixth Cranial Nerve (Abducens nerve),50867
Anatomic,Nerve,Cranial,Head and Neck,7,CN_VI_L,L_VI_CN,Sixth Cranial Nerve (Abducens nerve) Left,50887
Anatomic,Nerve,Cranial,Head and Neck,7,CN_VI_R,R_VI_CN,Sixth Cranial Nerve (Abducens nerve) Right,50886
Anatomic,Nerve,Cranial,Head and Neck,6,CN_VII,VII_CN,Seventh Cranial Nerve (Facial),50868
Anatomic,Nerve,Cranial,Head and Neck,8,CN_VII_L,L_VII_CN,Seventh Cranial Nerve (Facial) Left,50889
Anatomic,Nerve,Cranial,Head and Neck,8,CN_VII_R,R_VII_CN,Seventh Cranial Nerve (Facial) Right,50888
Anatomic,Nerve,Cranial,Head and Neck,7,CN_VIII,VIII_CN,Eighth Cranial (Vestibulocochlear) Nerve,50869
Anatomic,Nerve,Cranial,Head and Neck,9,CN_VIII_L,L_VIII_CN,Eighth Cranial (Vestibulocochlear)  Nerve Left,50891
Anatomic,Nerve,Cranial,Head and Neck,9,CN_VIII_R,R_VIII_CN,Eighth Cranial (Vestibulocochlear)  Nerve Right,50890
Anatomic,Nerve,Cranial,Head and Neck,5,CN_XI,XI_CN,Eleventh Cranial Nerve (Spinal accessory nerve),6720
Anatomic,Nerve,Cranial,Head and Neck,7,CN_XI_L,L_XI_CN,Eleventh Cranial Nerve (Spinal accessory nerve) Left,50899
Anatomic,Nerve,Cranial,Head and Neck,7,CN_XI_R,R_XI_CN,Eleventh Cranial Nerve (Spinal accessory nerve) Right,50897
Anatomic,Nerve,Cranial,Head and Neck,6,CN_XII,XII_CN,Twelfth Cranial Nerve (Hypoglossal nerve),50871
Anatomic,Nerve,Cranial,Head and Neck,8,CN_XII_L,L_XII_CN,Twelfth Cranial Nerve (Hypoglossal nerve) Left,50903
Anatomic,Nerve,Cranial,Head and Neck,8,CN_XII_R,R_XII_CN,Twelfth Cranial Nerve (Hypoglossal nerve) Right,50901
Anatomic,Ear,Cochlea,Head and Neck,7,Cochlea,Cochlea,Cochlea,60201
Anatomic,Ear,Cochlea,Head and Neck,9,Cochlea_L,L_Cochlea,Left Cochlea,60203
Anatomic,Ear,Cochlea,Head and Neck,9,Cochlea_R,R_Cochlea,Right Cochlea,60202
Anatomic,Bowel,Colon,Abdomen,5,Colon,Colon,Colon,14543
Anatomic,Bowel,Colon,Abdomen,15,Colon_Ascending,Ascending_Colon,Large bowel - Ascending colon,14545
Anatomic,Bowel,Colon,Abdomen,15,Colon_Decending,Decending_Colon,Large bowel - Descending colon,14547
Anatomic,Bowel,,Abdomen,11,Colon_PTVxx,PTVxx_Colon,PRV created with xx mm expansion on the left optic nerve,None
Anatomic,Bowel,Colon,Abdomen,13,Colon_Sigmoid,Sigmoid_Colon,Large bowel - Sigmoid colon,14548
Anatomic,Bowel,Colon,Abdomen,16,Colon_Transverse,Transverse_Colon,Large bowel -Transverse colon,14546
Anatomic,Eye,Cornea,Head and Neck,6,Cornea,Cornea,Cornea,58238
Anatomic,Eye,Cornea,Head and Neck,8,Cornea_L,L_Cornea,Cornea Left,58240
Anatomic,Eye,Cornea,Head and Neck,8,Cornea_R,R_Cornea,Cornea Right,58239
Anatomic,Bone,Skull,Head and Neck,15,CribriformPlate,CribriformPlate,Cribriform Plate,52890
Anatomic,Cartilage,Cricoid,Head and Neck,7,Cricoid,Cricoid,Cricoid cartilage,9615
Anatomic,Pharynx,Constrictors,Head and Neck,15,Cricopharyngeus,Cricopharyngeus,Cricopharyngeal part of inferior pharyngeal constrictor,46661
Target,CTV,,Body,3,CTV,CTV,Clinical Tumor Volume,None
Anatomic,Bone,Spine,Head and Neck,4,Dens,Dens,Cervical vertebrae - Bony part of dens of axis,24043
Anatomic,Diaphragm,,Thorax,9,Diaphragm,Diaphragm,Diaphragm,13295
Anatomic,Gut,,Abdomen,8,Duodenum,Duodenum,Small bowel - Duodenum,7206
Anatomic,Ear,External,Head and Neck,14,Ear_External_L,L_External_Ear,External Ear Left,53644
Anatomic,Ear,External,Head and Neck,14,Ear_External_R,R_External_Ear,External Ear Right,53643
Anatomic,Ear,External,Head and Neck,13,Ear_Externals,Externals_Ear,External Ear,52781
Anatomic,Ear,Internal,Head and Neck,14,Ear_Internal_L,L_Internal_Ear,Internal Ear Left,61021
Anatomic,Ear,Internal,Head and Neck,14,Ear_Internal_R,R_Internal_Ear,Internal Ear Right,61020
Anatomic,Ear,Internal,Head and Neck,13,Ear_Internals,Internals_Ear,Internal Ear,60909
Anatomic,Ear,Middle,Head and Neck,10,Ear_Middle,Middle_Ear,Middle Ear,56513
Anatomic,Ear,Middle,Head and Neck,12,Ear_Middle_L,L_Middle_Ear,Middle Ear Left,56515
Anatomic,Ear,Middle,Head and Neck,12,Ear_Middle_R,R_Middle_Ear,Middle Ear Right,56514
Anatomic,Skin,,Body,5,Edema,Edema,Edema,None
Anatomic,Joint,,Limbs,5,Elbow,Elbow,Elbow,24901
Anatomic,Joint,,Limbs,7,Elbow_L,L_Elbow,Elbow Left,24903
Anatomic,Joint,,Limbs,7,Elbow_R,R_Elbow,Elbow Right,24902
Non-Anatomic,Body,,Body,15,E-PTV_Ev05_xxxx,E-PTV_Ev05_xxxx,All tissue excluding the 5 mm expanded PTV. Generated by subtracting the 5 mm expanded PTV receiving a dose of xxxx cGy from the external contour.,None
Non-Anatomic,Derived,,Body,10,E-PTV_xxxx,E-PTV_xxxx,All tissue excluding the PTV. Generated by subtracting the PTV receiving a dose of xxxx cGy from the external contour.,None
Anatomic,Esophagus,,Thorax,9,Esophagus,Esophagus,Esophagus,7131
Anatomic,Esophagus,,Thorax,11,Esophagus_I,I_Esophagus,Lower Esophagus (abdominal),9397
Anatomic,Esophagus,,Thorax,11,Esophagus_M,M_Esophagus,Middle Esophagus (thoracic),9396
Anatomic,Esophagus,,Thorax,14,Esophagus_NAdj,NAdj_Esophagus,Non Adjacent Esophagus,None
Anatomic,Esophagus,,Thorax,11,Esophagus_S,S_Esophagus,Upper Esophagus (cervical),None
Non-Anatomic,Body,,Body,4,Eval,Eval,Evaluation Structure,None
Anatomic,Body,,Body,8,External,External,Contour encompassing body plus other external items,None
Anatomic,Eye,Eyeball,Head and Neck,5,Eye_L,L_Eye,Eyeball Left,12515
Anatomic,Eye,Eyeball,Head and Neck,5,Eye_R,R_Eye,Eyeball Right,12514
Anatomic,Eye,,Head and Neck,4,Eyes,Eyes,Set of eyes,268861
Anatomic,Bone,Femur,Pelvis,12,Femur_Base_L,L_Base_Femur,Femur Base Left,32846
Anatomic,Bone,Femur,Pelvis,12,Femur_Base_R,R_Base_Femur,Femur Base Right,32845
Anatomic,Bone,Femur,Pelvis,12,Femur_Head_L,L_Head_Femur,Femur Head & Neck Left,32843
